3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
MDH_f, mal-L_1_2_3_4 --> oaa_1_2_3_4
MDH_f, (0.5) mal-L_3 --> (0.5) oaa_3
MDH_f, (0.5) mal-L_3 --> (0.5) oaa_2
MDH_f, (0.5) mal-L_1_2 --> (0.5) oaa_3_4
MDH_f, (0.5) mal-L_1_2_3 --> (0.5) oaa_2_3_4
GLNS, glu-L_3_4_5 --> gln-L_3_4_5
GLUDyi, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
GLUDyi, akg_2 --> glu-L_2
GLNS, glu-L_5 --> gln-L_5
GLUDyi, akg_2_3 --> glu-L_2_3
GLUDyi, akg_1 --> glu-L_1
GLNS, glu-L_3 --> gln-L_3
GLNS, glu-L_4_5 --> gln-L_4_5
GLNS, glu-L_3_4 --> gln-L_3_4
GLNS, glu-L_4 --> gln-L_4
PSERT, glu-L_3_4 --> akg_3_4
PSERT, glu-L_3 --> akg_3
PYK, pep_1_2 --> pyr_1_2
PSERT, glu-L_3_4_5 --> akg_3_4_5
PSERT, glu-L_2_3_4_5 --> akg_2_3_4_5
PYK, pep_1 --> pyr_1
PSERT, glu-L_4 --> akg_4
PSERT, glu-L_5 --> akg_5
PSERT, glu-L_4_5 --> akg_4_5
PSP_L, pser-L_1_2 --> ser-L_1_2
PYK, pep_1_2_3 --> pyr_1_2_3
MALtm_b, mal-L_m_1 --> mal-L_1
MALS, accoa_2 + glx_2 --> mal-L_2_3
MALtm_b, mal-L_m_1_2 --> mal-L_1_2
MALS, accoa_2 + glx_1_2 --> mal-L_1_2_3
MALS, glx_1 --> mal-L_1
MALS, accoa_2 --> mal-L_3
MALS, accoa_1_2 + glx_2 --> mal-L_2_3_4
MALS, glx_2 --> mal-L_2
MALS, accoa_1_2 --> mal-L_3_4
MALS, glx_1_2 --> mal-L_1_2
MALtm_b, mal-L_m_1_2_3 --> mal-L_1_2_3
TYRTAi, glu-L_5 --> akg_5
TYRTAi, glu-L_4 --> akg_4
TYRTAi, glu-L_3_4 --> akg_3_4
TYRTAi, glu-L_4_5 --> akg_4_5
VALTA_b, 3mob_1_2_3_4 --> val-L_1_2_3_4
TYRTAi, glu-L_2_3_4 --> akg_2_3_4
TYRTAi, glu-L_2_3 --> akg_2_3
VALTA_b, 3mob_5 --> val-L_5
TYRTAi, glu-L_3_4_5 --> akg_3_4_5
TYRTAi, glu-L_2_3_4_5 --> akg_2_3_4_5
TYRTAi, glu-L_3 --> akg_3
VALTA_b, 3mob_1_2_3_4_5 --> val-L_1_2_3_4_5
RPI_f, r5p_5 --> ru5p-D_5
RPI_f, r5p_4_5 --> ru5p-D_4_5
SACCD1_b, saccrp-L_3 --> glu-L_3
SACCD1_b, saccrp-L_2_3_4 --> glu-L_2_3_4
RPI_f, r5p_3_4 --> ru5p-D_3_4
RPI_f, r5p_4 --> ru5p-D_4
SACCD1_b, saccrp-L_2_3 --> glu-L_2_3
RPI_f, r5p_3_4_5 --> ru5p-D_3_4_5
SACCD1_b, saccrp-L_2 --> glu-L_2
SACCD1_b, saccrp-L_2_3_4_5 --> glu-L_2_3_4_5
SACCD1_b, saccrp-L_1_2_3_4_5 --> glu-L_1_2_3_4_5
SACCD1_b, saccrp-L_1 --> glu-L_1
SUCD2_u6m_b, fum_m_2 --> succ_m_2
SUCD2_u6m_b, fum_m_2_3 --> succ_m_2_3
SUCD2_u6m_b, fum_m_3 --> succ_m_3
SUCD1m_f, succ_m_3_4 --> fum_m_3_4
SUCD2_u6m_b, fum_m_1_2_3_4 --> succ_m_1_2_3_4
SUCD2_u6m_b, fum_m_1_2_3 --> succ_m_1_2_3
SUCD2_u6m_b, fum_m_1 --> succ_m_1
SUCD2_u6m_b, fum_m_2_3_4 --> succ_m_2_3_4
SUCD1m_f, succ_m_4 --> fum_m_4
SUCD2_u6m_b, fum_m_1_2 --> succ_m_1_2
TK1_f, xu5p-D_4_5 --> g3p_2_3
TK2_b, TKC2_1 --> f6p_1
TK1_f, xu5p-D_4 --> g3p_2
TK1_b, g3p_3 --> xu5p-D_5
TK1_f, xu5p-D_3 --> g3p_1
TK1_f, xu5p-D_2 --> TKC2_2
TK1_f, xu5p-D_3_4_5 --> g3p_1_2_3
TK1_f, xu5p-D_3_4 --> g3p_1_2
TK1_f, xu5p-D_5 --> g3p_3
TK1_f, xu5p-D_1 --> TKC2_1
TK1_f, xu5p-D_1_2 --> TKC2_1_2
SACCD2_b, akg_3_4_5 --> saccrp-L_3_4_5
SACCD2_b, akg_3_4 --> saccrp-L_3_4
SACCD2_f, saccrp-L_1 --> akg_1
SACCD2_b, akg_5 --> saccrp-L_5
SACCD2_b, akg_2_3_4_5 --> saccrp-L_2_3_4_5
SACCD2_b, akg_2_3_4 --> saccrp-L_2_3_4
SACCD2_f, saccrp-L_2 --> akg_2
SACCD2_b, akg_3 --> saccrp-L_3
SACCD2_f, saccrp-L_1_2_3_4_5 --> akg_1_2_3_4_5
SACCD2_b, akg_4 --> saccrp-L_4
SACCD2_b, akg_4_5 --> saccrp-L_4_5
PHETA1_b, glu-L_4_5 --> akg_4_5
PHETA1_b, glu-L_2_3_4 --> akg_2_3_4
PHETA1_b, glu-L_3_4 --> akg_3_4
PHETA1_b, glu-L_2_3_4_5 --> akg_2_3_4_5
PHETA1_b, glu-L_5 --> akg_5
PHETA1_b, glu-L_4 --> akg_4
PHETA1_b, glu-L_3_4_5 --> akg_3_4_5
PHETA1_b, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
PHETA1_b, glu-L_3 --> akg_3
PHETA1_b, glu-L_2 --> akg_2
PHETA1_b, glu-L_2_3 --> akg_2_3
SUCD2_u6m_f, succ_m_4 --> fum_m_4
SUCFUMtm, fum_m_1_2_3_4 --> fum_1_2_3_4
SUCFUMtm, fum_m_3_4 --> fum_3_4
SUCFUMtm, fum_m_2_3 --> fum_2_3
SUCFUMtm, fum_m_1_2_3 --> fum_1_2_3
SUCFUMtm, fum_m_2_3_4 --> fum_2_3_4
SUCFUMtm, fum_m_3 --> fum_3
SUCFUMtm, fum_m_2 --> fum_2
SUCFUMtm, fum_m_1_2 --> fum_1_2
SUCFUMtm, fum_m_4 --> fum_4
SUCFUMtm, fum_m_1 --> fum_1
SUCFUMtm, succ_2_3_4 --> succ_m_2_3_4
SUCFUMtm, succ_4 --> succ_m_4
SUCOASm_b, succoa_m_1 --> succ_m_1
SUCFUMtm, succ_3_4 --> succ_m_3_4
SUCFUMtm, succ_3 --> succ_m_3
SUCFUMtm, succ_1_2_3 --> succ_m_1_2_3
SUCFUMtm, succ_2 --> succ_m_2
SUCFUMtm, succ_2_3 --> succ_m_2_3
SUCFUMtm, succ_1_2_3_4 --> succ_m_1_2_3_4
SUCFUMtm, succ_1 --> succ_m_1
SUCFUMtm, succ_1_2 --> succ_m_1_2
TA1_f, f6p_2_3 --> TAC3_2_3
TA1_f, f6p_4_5_6 --> g3p_1_2_3
TA1_f, f6p_1_2 --> TAC3_1_2
TA1_f, f6p_5_6 --> g3p_2_3
TA1_f, f6p_4_5 --> g3p_1_2
TA1_f, f6p_3 --> TAC3_3
TA1_f, f6p_5 --> g3p_2
TA1_f, f6p_1 --> TAC3_1
TA1_f, f6p_4 --> g3p_1
TA1_f, f6p_2 --> TAC3_2
TA1_f, f6p_1_2_3 --> TAC3_1_2_3
RPI_b, ru5p-D_1 --> r5p_1
RPI_b, ru5p-D_2_3_4_5 --> r5p_2_3_4_5
RPI_b, ru5p-D_2 --> r5p_2
RPE_f, ru5p-D_2_3_4_5 --> xu5p-D_2_3_4_5
RPE_f, ru5p-D_5 --> xu5p-D_5
RPE_f, ru5p-D_3 --> xu5p-D_3
RPE_f, ru5p-D_3_4 --> xu5p-D_3_4
RPE_f, ru5p-D_4 --> xu5p-D_4
RPE_f, ru5p-D_4_5 --> xu5p-D_4_5
RPI_b, ru5p-D_1_2 --> r5p_1_2
RPI_b, ru5p-D_3 --> r5p_3
RPE_f, ru5p-D_3_4_5 --> xu5p-D_3_4_5
TA2_f, s7p_1_2 --> TAC3_1_2
TA2_b, e4p_2_3 --> s7p_5_6
TA2_b, e4p_4 --> s7p_7
TA2_b, e4p_3_4 --> s7p_6_7
TA2_b, e4p_2_3_4 --> s7p_5_6_7
TA2_b, e4p_3 --> s7p_6
TA2_f, s7p_2 --> TAC3_2
TA2_f, s7p_1_2_3 --> TAC3_1_2_3
TA2_f, s7p_2_3 --> TAC3_2_3
TA2_f, s7p_1 --> TAC3_1
PSERT, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
PSERT, glu-L_1 --> akg_1
PSERT, glu-L_2 --> akg_2
PSERT, glu-L_2_3 --> akg_2_3
PRPPS_f, r5p_4_5 --> prpp_4_5
PSERT, 3php_1_2 --> pser-L_1_2
PSCVTi, pep_2_3 + skm5p_1_2_3_4_5_6_7 --> 3psme_1_2_3_4_5_6_7_8_9
PSCVTi, pep_1 --> 3psme_10
PRPPS_f, r5p_5 --> prpp_5
PSERT, glu-L_2_3_4 --> akg_2_3_4
PPCK, oaa_4 --> co2_1
PPCK, oaa_2_3 --> pep_2_3
PPCK, oaa_2 --> pep_2
PPCK, oaa_1_2_3 --> pep_1_2_3
PPCK, oaa_1 --> pep_1
PHETA1_f, phe-L_1_2_3_4_5_6_7_8_9 --> phpyr_1_2_3_4_5_6_7_8_9
PPCK, oaa_1_2 --> pep_1_2
PHETA1_f, akg_4_5 --> glu-L_4_5
PHETA1_f, akg_5 --> glu-L_5
PPND, pphn_10 --> co2_1
PPCK, oaa_3 --> pep_3
TA2_b, TAC3_2 --> s7p_2
TA1_f, f6p_6 --> g3p_3
TA2_b, e4p_2 --> s7p_5
TA2_b, e4p_1 --> s7p_4
TA2_b, TAC3_1 --> s7p_1
TA2_b, TAC3_3 + e4p_1 --> s7p_3_4
TA2_b, TAC3_1_2 --> s7p_1_2
TA2_b, e4p_1_2_3_4 --> s7p_4_5_6_7
TA2_b, TAC3_2_3 --> s7p_2_3
TA2_b, TAC3_1_2_3 --> s7p_1_2_3
TA2_b, TAC3_3 --> s7p_3
SUCOASm_f, succ_m_2 --> succoa_m_2
SUCOASm_f, succ_m_3_4 --> succoa_m_3_4
SUCOASm_f, succ_m_2_3 --> succoa_m_2_3
SUCOASm_f, succ_m_1_2_3_4 --> succoa_m_1_2_3_4
SUCOASm_f, succ_m_3 --> succoa_m_3
TA1_b, TAC3_1_2 --> f6p_1_2
SUCOASm_f, succ_m_4 --> succoa_m_4
SUCOASm_f, succ_m_2_3_4 --> succoa_m_2_3_4
TA1_b, TAC3_1 --> f6p_1
TA1_b, TAC3_1_2_3 --> f6p_1_2_3
TK2_f, f6p_3_4_5_6 --> e4p_1_2_3_4
TK2_f, f6p_1_2 --> TKC2_1_2
TK2_f, f6p_4_5 --> e4p_2_3
TPI_f, dhap_1_2 --> g3p_1_2
TK2_f, f6p_5_6 --> e4p_3_4
TK2_f, f6p_4_5_6 --> e4p_2_3_4
TK2_b, e4p_4 --> f6p_6
TK2_f, f6p_5 --> e4p_3
TK2_f, f6p_2 --> TKC2_2
TK2_f, f6p_3 --> e4p_1
TK2_f, f6p_1 --> TKC2_1
TK2_f, f6p_4 --> e4p_2
GLUt7m, glu-L_4 --> glu-L_m_4
GLUt7m, glu-L_3_4 --> glu-L_m_3_4
GLUt7m, glu-L_3_4_5 --> glu-L_m_3_4_5
GLUt7m, glu-L_5 --> glu-L_m_5
GMPS2, gln-L_1 --> glu-L_1
GLUt7m, glu-L_4_5 --> glu-L_m_4_5
FUMm_f, fum_m_1_2_3_4 --> mal-L_m_1_2_3_4
FUMm_f, fum_m_2 --> mal-L_m_2
FUMm_f, fum_m_1_2_3 --> mal-L_m_1_2_3
FUMm_f, fum_m_2_3 --> mal-L_m_2_3
SERATi, accoa_2 --> acser_5
SUCD1m_b, fum_m_1_2_3_4 --> succ_m_1_2_3_4
SUCD1m_b, fum_m_2_3_4 --> succ_m_2_3_4
SHKK, skm_1_2_3_4_5_6_7 --> skm5p_1_2_3_4_5_6_7
SUCD1m_b, fum_m_2_3 --> succ_m_2_3
SUCD1m_b, fum_m_1_2_3 --> succ_m_1_2_3
SHK3D, 3dhsk_1_2_3_4_5_6_7 --> skm_1_2_3_4_5_6_7
SUCD1m_b, fum_m_2 --> succ_m_2
SUCD1m_b, fum_m_3 --> succ_m_3
SUCD1m_b, fum_m_1 --> succ_m_1
SUCD1m_b, fum_m_1_2 --> succ_m_1_2
ICDHy, icit_6 --> akg_5
ICDHym, icit_m_1 --> akg_m_1
ICDHy, icit_5_6 --> akg_4_5
ICDHym, icit_m_1_2_3_5_6 --> akg_m_1_2_3_4_5
ICDHy, icit_5 --> akg_4
PGI_b, f6p_1 --> g6p_1
PGI_b, f6p_1_2 --> g6p_1_2
PGCD, 3pg_1_2 --> 3php_1_2
PGI_b, f6p_3 --> g6p_3
PGI_b, f6p_1_2_3 --> g6p_1_2_3
PGI_b, f6p_4 --> g6p_4
PGI_b, f6p_2 --> g6p_2
PGI_b, f6p_2_3 --> g6p_2_3
PFK, f6p_6 --> fdp_6
PGI_b, f6p_3_4_5_6 --> g6p_3_4_5_6
PGL, 6pgl_3_4_5_6 --> 6pgc_3_4_5_6
PGL, 6pgl_6 --> 6pgc_6
PGL, 6pgl_5_6 --> 6pgc_5_6
PGL, 6pgl_4_5_6 --> 6pgc_4_5_6
PGL, 6pgl_2_3 --> 6pgc_2_3
PGL, 6pgl_3 --> 6pgc_3
PGL, 6pgl_4 --> 6pgc_4
PGL, 6pgl_5 --> 6pgc_5
PGL, 6pgl_4_5 --> 6pgc_4_5
PGM_b, 3pg_1_2 --> 2pg_1_2
PGM_b, 3pg_1 --> 2pg_1
PDHm, pyr_m_2 --> accoa_m_1
PC, pyr_2_3 --> oaa_2_3
PFK, f6p_1 --> fdp_1
PDHm, pyr_m_3 --> accoa_m_2
PC, pyr_3 --> oaa_3
PC, pyr_1_2_3 --> oaa_1_2_3
PDHm, pyr_m_1 --> co2_m_1
PDHm, pyr_m_2_3 --> accoa_m_1_2
PC, pyr_1 --> oaa_1
PC, pyr_1_2 --> oaa_1_2
PC, pyr_2 --> oaa_2
PGK_f, 3pg_1_2 --> 13dpg_1_2
PGK_f, 3pg_1 --> 13dpg_1
PGK_b, 13dpg_2_3 --> 3pg_2_3
PGK_b, 13dpg_3 --> 3pg_3
PGK_f, 3pg_1_2_3 --> 13dpg_1_2_3
PGL, 6pgl_2 --> 6pgc_2
PGK_f, 3pg_3 --> 13dpg_3
PGK_f, 3pg_2_3 --> 13dpg_2_3
PGL, 6pgl_1 --> 6pgc_1
PGK_f, 3pg_2 --> 13dpg_2
OMCDCm, 3c4mop_m_7 --> co2_m_1
ORNTACim, glu-L_m_1_2_3_4_5 --> acglu_m_1_2_3_4_5
OMCDC, 3c4mop_7 --> co2_1
OMCDC, 3c4mop_1_2_3_4_5_6 --> 4mop_1_2_3_4_5_6
ORNt3m_b, orn_1_2_3_4_5 --> orn_m_1_2_3_4_5
ORNTACim, acorn_m_1_2_3_4_5 --> orn_m_1_2_3_4_5
OXAGm_b, co2_m_1 --> oxag_m_5
ORNt3m_f, orn_m_1_2_3_4_5 --> orn_1_2_3_4_5
OCBTi_f, cbp_1 --> citr-L_6
OCBTi_f, orn_1_2_3_4_5 --> citr-L_1_2_3_4_5
SUCD2_u6m_b, fum_m_4 --> succ_m_4
SUCD2_u6m_f, succ_m_1 --> fum_m_1
SUCD2_u6m_f, succ_m_2_3 --> fum_m_2_3
SUCD2_u6m_f, succ_m_2_3_4 --> fum_m_2_3_4
SUCD2_u6m_b, fum_m_3_4 --> succ_m_3_4
SUCD2_u6m_f, succ_m_3_4 --> fum_m_3_4
SUCD2_u6m_f, succ_m_2 --> fum_m_2
SUCD2_u6m_f, succ_m_1_2_3_4 --> fum_m_1_2_3_4
SUCD2_u6m_f, succ_m_1_2 --> fum_m_1_2
SUCD2_u6m_f, succ_m_3 --> fum_m_3
SUCD2_u6m_f, succ_m_1_2_3 --> fum_m_1_2_3
FUMm_b, mal-L_m_3_4 --> fum_m_3_4
FUMm_b, mal-L_m_4 --> fum_m_4
FUMm_f, fum_m_1 --> mal-L_m_1
FUMm_b, mal-L_m_2_3_4 --> fum_m_2_3_4
FUMm_b, mal-L_m_1_2 --> fum_m_1_2
FUMm_b, mal-L_m_2 --> fum_m_2
FUMm_b, mal-L_m_1_2_3 --> fum_m_1_2_3
FUMm_b, mal-L_m_1_2_3_4 --> fum_m_1_2_3_4
FUMm_f, fum_m_1_2 --> mal-L_m_1_2
FUMm_b, mal-L_m_3 --> fum_m_3
FUMm_b, mal-L_m_2_3 --> fum_m_2_3
TK3_f, s7p_1_2 --> TKC2_1_2
TK3_f, s7p_3 --> r5p_1
TK3_f, s7p_2 --> TKC2_2
TK3_b, r5p_5 --> s7p_7
TK3_f, s7p_3_4 --> r5p_1_2
TK3_b, r5p_4_5 --> s7p_6_7
TK3_b, r5p_3_4 --> s7p_5_6
TK3_b, r5p_3_4_5 --> s7p_5_6_7
TK3_f, s7p_1 --> TKC2_1
TK3_b, r5p_4 --> s7p_6
TK3_f, s7p_6_7 --> r5p_4_5
TK3_f, s7p_6 --> r5p_4
TK3_f, s7p_5 --> r5p_3
TPI_b, g3p_1 --> dhap_1
TK3_f, s7p_4 --> r5p_2
TK3_f, s7p_5_6 --> r5p_3_4
TPI_b, g3p_1_2 --> dhap_1_2
TK3_f, s7p_5_6_7 --> r5p_3_4_5
TK3_f, s7p_4_5_6_7 --> r5p_2_3_4_5
TK3_f, s7p_7 --> r5p_5
SUCOASm_f, succ_m_1_2 --> succoa_m_1_2
SUCOASm_f, succ_m_1 --> succoa_m_1
SUCOASm_f, succ_m_1_2_3 --> succoa_m_1_2_3
SUCOASm_b, succoa_m_1_2_3 --> succ_m_1_2_3
SUCOASm_b, succoa_m_2_3_4 --> succ_m_2_3_4
SUCOASm_b, succoa_m_1_2 --> succ_m_1_2
SUCOASm_b, succoa_m_3 --> succ_m_3
SUCOASm_b, succoa_m_3_4 --> succ_m_3_4
SUCOASm_b, succoa_m_2 --> succ_m_2
SUCOASm_b, succoa_m_1_2_3_4 --> succ_m_1_2_3_4
SUCOASm_b, succoa_m_4 --> succ_m_4
SUCOASm_b, succoa_m_2_3 --> succ_m_2_3
TA1_b, g3p_1 --> f6p_4
TA1_b, TAC3_2_3 --> f6p_2_3
TA1_b, g3p_2_3 --> f6p_5_6
TA1_b, g3p_1_2 --> f6p_4_5
TA1_b, g3p_1_2_3 --> f6p_4_5_6
TA1_b, TAC3_3 + g3p_1_2_3 --> f6p_3_4_5_6
TA1_b, g3p_2 --> f6p_5
TA1_b, TAC3_3 --> f6p_3
TA1_b, g3p_3 --> f6p_6
TA1_b, TAC3_2 --> f6p_2
THRS, phom_4 --> thr-L_4
THRt2m_f, thr-L_1_2_3_4 --> thr-L_m_1_2_3_4
THRt2m_b, thr-L_m_1_2_3_4 --> thr-L_1_2_3_4
THRS, phom_3_4 --> thr-L_3_4
THRt2m_b, thr-L_m_3 --> thr-L_3
THRt2m_b, thr-L_m_4 --> thr-L_4
THRt2m_b, thr-L_m_3_4 --> thr-L_3_4
THRt2m_f, thr-L_1_2 --> thr-L_m_1_2
THRt2m_f, thr-L_3_4 --> thr-L_m_3_4
THRt2m_b, thr-L_m_1_2 --> thr-L_1_2
THRt2m_f, thr-L_3 --> thr-L_m_3
TK3_b, r5p_1_2 --> s7p_3_4
TK3_b, r5p_1 --> s7p_3
TK3_b, TKC2_2 --> s7p_2
TK2_f, f6p_6 --> e4p_4
TK3_b, r5p_3 --> s7p_5
TK3_b, r5p_2 --> s7p_4
TK3_b, TKC2_1_2 --> s7p_1_2
TK3_b, TKC2_2 + r5p_1 --> s7p_2_3
TK3_b, r5p_2_3_4_5 --> s7p_4_5_6_7
TK3_b, TKC2_1 --> s7p_1
TK3_b, TKC2_1_2 + r5p_1 --> s7p_1_2_3
TPI_f, dhap_2_3 --> g3p_2_3
TPI_b, g3p_1_2_3 --> dhap_1_2_3
TPI_f, dhap_3 --> g3p_3
TPI_b, g3p_2 --> dhap_2
TPI_b, g3p_3 --> dhap_3
TYRTAi, glu-L_1 --> akg_1
TYRTAi, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
TYRTAi, glu-L_2 --> akg_2
TPI_b, g3p_2_3 --> dhap_2_3
TPI_f, dhap_1 --> g3p_1
TYRTAi, 34hpp_1_2_3_4_5_6_7_8_9 --> tyr-L_1_2_3_4_5_6_7_8_9
VALTA_f, akg_1 --> glu-L_1
VALTA_b, glu-L_4_5 --> akg_4_5
VALTA_b, glu-L_4 --> akg_4
VALTA_f, akg_3 --> glu-L_3
VALTA_b, glu-L_5 --> akg_5
VALTA_f, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
VALTA_f, akg_2_3 --> glu-L_2_3
VALTA_f, akg_2_3_4 --> glu-L_2_3_4
VALTA_f, akg_2_3_4_5 --> glu-L_2_3_4_5
VALTA_f, akg_3_4 --> glu-L_3_4
VALTA_f, akg_2 --> glu-L_2
VALTA_b, glu-L_2_3_4 --> akg_2_3_4
VALTA_b, glu-L_2 --> akg_2
VALTA_b, glu-L_1 --> akg_1
VALTA_b, glu-L_2_3_4_5 --> akg_2_3_4_5
VALTA_b, glu-L_3_4 --> akg_3_4
VALTA_b, glu-L_3 --> akg_3
VALTA_b, glu-L_2_3 --> akg_2_3
VALTA_b, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
VALTA_b, glu-L_3_4_5 --> akg_3_4_5
