3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
MDHm_b, (0.5) oaa_m_1_2_3 --> (0.5) mal-L_m_1_2_3
MDHm_b, oaa_m_1_2_3_4 --> mal-L_m_1_2_3_4
MDHm_b, (0.5) oaa_m_1_2 --> (0.5) mal-L_m_3_4
MDHm_b, (0.5) oaa_m_1_2_3 --> (0.5) mal-L_m_2_3_4
MDHm_b, (0.5) oaa_m_1 --> (0.5) mal-L_m_1
MDHm_b, (0.5) oaa_m_1_2 --> (0.5) mal-L_m_1_2
MDH_f, (0.5) mal-L_4 --> (0.5) oaa_4
MDH_f, (0.5) mal-L_4 --> (0.5) oaa_1
MDH_f, (0.5) mal-L_3_4 --> (0.5) oaa_1_2
MDH_f, (0.5) mal-L_3_4 --> (0.5) oaa_3_4
SACCD1_f, glu-L_2_3 --> saccrp-L_2_3
SACCD1_f, glu-L_2_3_4 --> saccrp-L_2_3_4
SACCD1_f, glu-L_1 --> saccrp-L_1
SACCD1_b, saccrp-L_4 --> glu-L_4
SACCD1_b, saccrp-L_4_5 --> glu-L_4_5
SACCD1_f, glu-L_1_2_3_4_5 --> saccrp-L_1_2_3_4_5
SACCD1_f, glu-L_2 --> saccrp-L_2
SACCD1_f, glu-L_2_3_4_5 --> saccrp-L_2_3_4_5
SACCD1_b, saccrp-L_5 --> glu-L_5
SACCD1_b, saccrp-L_3_4 --> glu-L_3_4
SACCD1_b, saccrp-L_3_4_5 --> glu-L_3_4_5
SUCD1m_b, fum_m_4 --> succ_m_4
SUCD1m_f, succ_m_2_3 --> fum_m_2_3
SUCD1m_f, succ_m_3 --> fum_m_3
SUCD1m_f, succ_m_1_2_3 --> fum_m_1_2_3
SUCD1m_b, fum_m_3_4 --> succ_m_3_4
SUCD1m_f, succ_m_2 --> fum_m_2
SUCD1m_f, succ_m_1_2_3_4 --> fum_m_1_2_3_4
SUCD1m_f, succ_m_2_3_4 --> fum_m_2_3_4
SUCD1m_f, succ_m_1_2 --> fum_m_1_2
SUCD1m_f, succ_m_1 --> fum_m_1
VALTA_f, akg_5 --> glu-L_5
VALTA_f, val-L_1_2_3_4_5 --> 3mob_1_2_3_4_5
VALTA_f, akg_3_4_5 --> glu-L_3_4_5
VALTA_f, val-L_1_2_3_4 --> 3mob_1_2_3_4
VALTA_f, akg_4_5 --> glu-L_4_5
VALTA_f, val-L_5 --> 3mob_5
VALTA_f, akg_4 --> glu-L_4
3C3HMPtm_f, 3c3hmp_1_2_3_4_5_6 --> 3c3hmp_m_1_2_3_4_5_6
6PGLter_b, 6pgl_r_2_3 --> 6pgl_2_3
6PGLter_f, 6pgl_2 --> 6pgl_r_2
6PGLter_f, 6pgl_2_3 --> 6pgl_r_2_3
6PGLter_b, 6pgl_r_2 --> 6pgl_2
CSm, oaa_m_3 --> cit_m_2
3MOBtm_f, 3mob_5 --> 3mob_m_5
ACS, ac_2 --> accoa_2
6PGLter_b, 6pgl_r_3 --> 6pgl_3
TPI_f, dhap_2 --> g3p_2
CSm, accoa_m_1_2 + oaa_m_1_2 --> cit_m_3_4_5_6
CSm, accoa_m_1 --> cit_m_6
CO2tm_f, co2_1 --> co2_m_1
ACtr_f, ac_e_2 --> ac_2
ADSL1r, dcamp_1_2_3 --> fum_1_2_3
ADSL1r, dcamp_1 --> fum_1
ADSL1r, dcamp_1_2 --> fum_1_2
ACtr_f, ac_e_1_2 --> ac_1_2
AATA_f, glu-L_2 --> akg_2
AATA_f, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
AATA_f, glu-L_2_3 --> akg_2_3
AATA_f, glu-L_3 --> akg_3
AATA_f, glu-L_1 --> akg_1
AATA_f, glu-L_2_3_4_5 --> akg_2_3_4_5
AATA_f, glu-L_2_3_4 --> akg_2_3_4
ACt2r_f, ac_e_1 --> ac_1
ACt2r_b, ac_1 --> ac_e_1
ACt2r_f, ac_e_1_2 --> ac_1_2
ACt2r_b, ac_1_2 --> ac_e_1_2
ACt2r_b, ac_2 --> ac_e_2
ASPTA_f, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
ASPTA_f, akg_2_3 --> glu-L_2_3
ASPTA_f, akg_2 --> glu-L_2
ASPTA_f, asp-L_4 --> oaa_4
ASPTA_f, asp-L_1_2_3_4 --> oaa_1_2_3_4
ASPTA_f, asp-L_1_2 --> oaa_1_2
ASPTA_f, asp-L_3 --> oaa_3
ASPTA_f, asp-L_3_4 --> oaa_3_4
ASPTA_f, asp-L_2 --> oaa_2
ASPTA_f, asp-L_1_2_3 --> oaa_1_2_3
ASPTA_f, asp-L_2_3_4 --> oaa_2_3_4
ASPTAm_b, glu-L_m_1 --> akg_m_1
ASPTA_f, asp-L_2_3 --> oaa_2_3
GND, 6pgc_6 --> ru5p-D_5
HCITSm, akg_m_5 --> hcit_m_5
HACNHm_f, b124tc_m_5 --> hicit_m_5
HACNHm_b, hicit_m_5 --> b124tc_m_5
ARGSL_f, (0.5) argsuc_7_8 --> (0.5) fum_3_4
ARGSL_f, (0.5) argsuc_7 --> (0.5) fum_4
ARGSL_f, (0.5) argsuc_7_8 --> (0.5) fum_1_2
ARGSL_f, (0.5) argsuc_7 --> (0.5) fum_1
ARGSL_f, (0.5) argsuc_10 --> (0.5) fum_4
ARGSL_f, argsuc_1_2_3_4_5_6 --> arg-L_1_2_3_4_5_6
ASPTA_f, akg_3 --> glu-L_3
ASPTA_f, akg_2_3_4_5 --> glu-L_2_3_4_5
ASPTA_f, akg_2_3_4 --> glu-L_2_3_4
ASPTA_f, akg_3_4 --> glu-L_3_4
3MOPtm_f, 3mop_1_2_3_4_5_6 --> 3mop_m_1_2_3_4_5_6
3MOPtm_b, 3mop_m_1_2_3_4_5_6 --> 3mop_1_2_3_4_5_6
ICDHym, icit_m_2 --> akg_m_2
ICDHym, icit_m_2_3 --> akg_m_2_3
ICDHym, icit_m_2_3_5_6 --> akg_m_2_3_4_5
ICDHym, icit_m_3_5_6 --> akg_m_3_4_5
ICDHym, icit_m_5 --> akg_m_4
ICDHym, icit_m_4 --> co2_m_1
ICDHym, icit_m_6 --> akg_m_5
ICDHym, icit_m_5_6 --> akg_m_4_5
ICDHym, icit_m_3_5 --> akg_m_3_4
ICDHym, icit_m_3 --> akg_m_3
ICDHym, icit_m_2_3_5 --> akg_m_2_3_4
CITtam_b, mal-L_4 --> mal-L_m_4
CITtam_f, cit_1_2 --> cit_m_1_2
CITtam_f, cit_1 --> cit_m_1
CITtam_b, mal-L_3_4 --> mal-L_m_3_4
CITtam_f, cit_1_2_3_4 --> cit_m_1_2_3_4
CITtam_b, mal-L_2_3 --> mal-L_m_2_3
CITtam_f, cit_1_2_3_5_6 --> cit_m_1_2_3_5_6
CITtam_f, cit_1_2_3 --> cit_m_1_2_3
CITtam_b, mal-L_3 --> mal-L_m_3
CITtam_b, mal-L_2 --> mal-L_m_2
CITtam_b, mal-L_1_2_3_4 --> mal-L_m_1_2_3_4
CITtam_b, mal-L_2_3_4 --> mal-L_m_2_3_4
ASADi, 4pasp_3_4 --> aspsa_3_4
ASADi, 4pasp_1_2_3_4 --> aspsa_1_2_3_4
ASADi, 4pasp_4 --> aspsa_4
ASADi, 4pasp_3 --> aspsa_3
ARGSSr, citr-L_1_2_3_4_5_6 --> argsuc_1_2_3_4_5_6
ASNS1, gln-L_2 --> glu-L_2
ASADi, 4pasp_1_2 --> aspsa_1_2
ASNS1, gln-L_1 --> glu-L_1
ASNS1, asp-L_1_2_3_4 --> asn-L_1_2_3_4
ASNS1, gln-L_1_2_3_4_5 --> glu-L_1_2_3_4_5
ASPTA_b, oaa_1_2_3 --> asp-L_1_2_3
ASPTA_b, oaa_2 --> asp-L_2
ASPTA_b, oaa_1_2_3_4 --> asp-L_1_2_3_4
ASPTA_b, oaa_1 --> asp-L_1
ASPTA_b, oaa_1_2 --> asp-L_1_2
ASPTA_b, glu-L_3_4 --> akg_3_4
ASPTA_b, glu-L_5 --> akg_5
ASPTA_b, glu-L_4_5 --> akg_4_5
ASPTA_b, glu-L_3_4_5 --> akg_3_4_5
ASPTA_b, glu-L_4 --> akg_4
ASPTA_b, oaa_2_3 --> asp-L_2_3
ASPTAm_b, glu-L_m_2_3_4_5 --> akg_m_2_3_4_5
ASPTAm_b, glu-L_m_2_3_4 --> akg_m_2_3_4
ASPTAm_b, glu-L_m_3 --> akg_m_3
ASPTAm_b, glu-L_m_2_3 --> akg_m_2_3
ASPTAm_b, glu-L_m_1_2_3_4_5 --> akg_m_1_2_3_4_5
ASPTAm_b, glu-L_m_4 --> akg_m_4
ASPTAm_b, glu-L_m_2 --> akg_m_2
ASPTAm_b, glu-L_m_4_5 --> akg_m_4_5
ASPTAm_b, glu-L_m_3_4_5 --> akg_m_3_4_5
ASPTAm_b, glu-L_m_3_4 --> akg_m_3_4
CITtcm_b, icit_1_2 --> icit_m_1_2
CITtcm_b, cit_m_4 --> cit_4
CITtcm_b, icit_1_2_3 --> icit_m_1_2_3
CITtcm_b, cit_m_3_5_6 --> cit_3_5_6
CITtcm_b, icit_1 --> icit_m_1
CITtcm_b, cit_m_5_6 --> cit_5_6
CITtcm_b, cit_m_5 --> cit_5
CITtcm_b, icit_1_2_3_5_6 --> icit_m_1_2_3_5_6
CITtcm_b, icit_1_2_3_4 --> icit_m_1_2_3_4
CITtcm_b, cit_m_6 --> cit_6
OAAt2m_f, oaa_1_2_3_4 --> oaa_m_1_2_3_4
OAAt2m_f, oaa_2 --> oaa_m_2
OAAt2m_f, oaa_4 --> oaa_m_4
OAAt2m_f, oaa_3_4 --> oaa_m_3_4
OCBTi_f, cbp_1 + orn_1_2_3_4_5 --> citr-L_1_2_3_4_5_6
OAAt2m_f, oaa_3 --> oaa_m_3
OCBTi_b, citr-L_1_2_3_4_5 --> orn_1_2_3_4_5
OAAt2m_f, oaa_2_3_4 --> oaa_m_2_3_4
